    горад Віцебск
    вёска Скварцішкі, Ахрэмавецкі сельсавет
    вёска Укольск, Ахрэмавецкі сельсавет
    вёска Шакуры, Ахрэмавецкі сельсавет
    вёска Абалі, Відзаўскі сельсавет
    вёска Азярава, Відзаўскі сельсавет
    вёска Антадолле, Відзаўскі сельсавет
    вёска Астравішкі, Відзаўскі сельсавет
    хутар Аўштакальня, Відзаўскі сельсавет
    вёска Ашкарагі, Відзаўскі сельсавет
    вёска Балікі, Відзаўскі сельсавет
    вёска Балундзішкі, Відзаўскі сельсавет
    вёска Баравыя, Відзаўскі сельсавет
    вёска Баркаўшчына, Відзаўскі сельсавет
    вёска Барсукі, Відзаўскі сельсавет
    хутар Белы Засценак, Відзаўскі сельсавет
    хутар Бержанішкі, Відзаўскі сельсавет
    вёска Бікішкі, Відзаўскі сельсавет
    вёска Біцюны, Відзаўскі сельсавет
